file,rank,score,x_distance,y_distance,ob_conf,ob_x,ob_y,ob_w,ob_h,fvg_conf,fvg_x,fvg_y,fvg_w,fvg_h
gbpusd_h1_2022_20220131_200000_0006.txt,1,0.8095472333333332,0.009315999999999991,0.05700900000000009,0.598736,0.173359,0.801266,0.0267278,0.0483912,0.856183,0.182675,0.744257,0.0436452,0.0648025
gbpusd_h1_2025_20250120_150000_0004.txt,1,0.6092085666666666,0.009194000000000008,0.04109900000000011,0.399454,0.156215,0.525866,0.0254654,0.0452913,0.376385,0.165409,0.566965,0.0460965,0.0361062
gbpusd_h4_2020_20200428_040000_0006.txt,1,0.7595932333333333,0.009772000000000003,0.07367999999999997,0.680293,0.671443,0.567335,0.0242435,0.112354,0.62176,0.681215,0.641015,0.0464504,0.032847
gbpusd_h4_2021_20210126_160000_0002.txt,1,0.8246159999999999,0.010329000000000033,0.07500600000000002,0.697099,0.423457,0.843782,0.0245634,0.0721069,0.825675,0.433786,0.768776,0.0437269,0.0775671
gbpusd_h4_2024_20240312_000000_0004.txt,1,0.7457809666666666,0.008480000000000015,0.05649700000000002,0.701682,0.191744,0.14539,0.0234064,0.0883463,0.535697,0.200224,0.201887,0.0440791,0.0261852
gbpusd_h4_2024_20241008_000000_0013.txt,1,0.7268248,0.008540999999999965,0.07808700000000002,0.4306,0.396591,0.257391,0.0244454,0.0517514,0.758324,0.405132,0.335478,0.0381531,0.104861
gbpusd_h4_2025_20250822_160000_0011.txt,1,0.7094799,0.007694999999999952,0.07346599999999998,0.482734,0.326288,0.537331,0.0239137,0.0879215,0.640593,0.333983,0.463865,0.0472116,0.0566267
gbpusd_m15_2023_20230113_154500_0010.txt,1,0.7441032333333333,0.008982999999999991,0.04546299999999992,0.539387,0.225882,0.56778,0.0259475,0.040609,0.687838,0.234865,0.522317,0.043053,0.0494036
gbpusd_m15_2024_20240122_140000_0015.txt,1,0.8066807,0.009333000000000036,0.060819999999999985,0.651024,0.548118,0.65503,0.0211325,0.0670705,0.796975,0.557451,0.59421,0.0442049,0.0542049
gbpusd_m5_2021_20210106_020000_0007.txt,1,0.6658044666666667,0.009742999999999946,0.07309399999999999,0.409634,0.806614,0.453193,0.0247753,0.0490526,0.579238,0.816357,0.380099,0.0433447,0.0943791
gbpusd_m5_2021_20210107_112000_0011.txt,1,0.7068639666666666,0.007730000000000015,0.042381999999999975,0.543422,0.405493,0.374965,0.0237771,0.0652471,0.550657,0.413223,0.332583,0.04272,0.0208574
gbpusd_m5_2025_20250106_112000_0008.txt,1,0.6831444666666666,0.009494000000000002,0.055537,0.630374,0.50357,0.150983,0.0251245,0.078411,0.40321,0.513064,0.20652,0.0461212,0.0335752
xauusd_h1_2020_20200114_130000_0003.txt,1,0.6236758,0.007632,0.08603099999999997,0.455924,0.192248,0.643718,0.0217644,0.0996487,0.389416,0.19988,0.557687,0.0476946,0.0745772
xauusd_h1_2021_20210309_040000_0012.txt,1,0.7371799333333333,0.008094999999999991,0.07746999999999998,0.70174,0.156496,0.575811,0.025135,0.0894177,0.518812,0.164591,0.498341,0.0427155,0.0616182
xauusd_h1_2025_20250114_170000_0003.txt,1,0.8173740999999999,0.009336000000000011,0.078704,0.624528,0.450158,0.365262,0.0257564,0.0829633,0.871055,0.459494,0.286558,0.0452166,0.073539
xauusd_h1_2025_20250317_080000_0013.txt,1,0.7426131666666664,0.008618000000000015,0.06170300000000001,0.645647,0.574615,0.365167,0.0249382,0.0497516,0.58541,0.583233,0.303464,0.0435611,0.0728754
xauusd_m15_2020_20200129_180000_0019.txt,1,0.6420103333333335,0.008691999999999978,0.036053999999999975,0.465801,0.324762,0.523466,0.0240516,0.0434279,0.413225,0.333454,0.487412,0.0462099,0.0256901
xauusd_m15_2023_20230125_061500_0016.txt,1,0.7234794999999999,0.00828000000000001,0.07997699999999996,0.717584,0.405869,0.796025,0.0252933,0.137616,0.459999,0.414149,0.716048,0.0450802,0.019632
xauusd_m5_2020_20200106_100500_0007.txt,1,0.7428965333333334,0.00832299999999997,0.091885,0.728812,0.85949,0.614456,0.0235292,0.126065,0.521672,0.867813,0.706341,0.0442795,0.0515201
xauusd_m5_2020_20200106_100500_0007.txt,2,0.6699761999999998,0.00929100000000005,0.043767999999999974,0.60171,0.744215,0.24013,0.0252579,0.0566895,0.379006,0.753506,0.283898,0.0476734,0.0314403
xauusd_m5_2022_20220111_133000_0019.txt,1,0.6538033000000001,0.009278999999999982,0.04397099999999998,0.408343,0.272308,0.624777,0.0250082,0.0588184,0.518532,0.281587,0.668748,0.0425291,0.029322
