file_name,pair,timeframe,year,source_path,target_path,status
gbpusd_h1_2020_20200821_230000_0041.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200821_230000_0041.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200821_230000_0041.png,selected_for_annotation
gbpusd_h1_2020_20200212_080000_0008.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200212_080000_0008.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200212_080000_0008.png,selected_for_annotation
gbpusd_h1_2020_20200108_080000_0002.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200108_080000_0002.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200108_080000_0002.png,selected_for_annotation
gbpusd_h1_2020_20200410_030000_0018.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200410_030000_0018.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200410_030000_0018.png,selected_for_annotation
gbpusd_h1_2020_20200330_190000_0016.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200330_190000_0016.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200330_190000_0016.png,selected_for_annotation
gbpusd_h1_2020_20200324_140000_0015.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200324_140000_0015.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200324_140000_0015.png,selected_for_annotation
gbpusd_h1_2020_20200218_120000_0009.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200218_120000_0009.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200218_120000_0009.png,selected_for_annotation
gbpusd_h1_2020_20200206_040000_0007.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200206_040000_0007.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200206_040000_0007.png,selected_for_annotation
gbpusd_h1_2020_20200717_230000_0035.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200717_230000_0035.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200717_230000_0035.png,selected_for_annotation
gbpusd_h1_2020_20200131_000000_0006.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200131_000000_0006.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200131_000000_0006.png,selected_for_annotation
gbpusd_h1_2020_20200805_110000_0038.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200805_110000_0038.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200805_110000_0038.png,selected_for_annotation
gbpusd_h1_2020_20200608_190000_0028.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200608_190000_0028.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200608_190000_0028.png,selected_for_annotation
gbpusd_h1_2020_20200114_120000_0003.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200114_120000_0003.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200114_120000_0003.png,selected_for_annotation
gbpusd_h1_2020_20201002_030000_0048.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20201002_030000_0048.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20201002_030000_0048.png,selected_for_annotation
gbpusd_h1_2020_20201014_110000_0050.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20201014_110000_0050.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20201014_110000_0050.png,selected_for_annotation
gbpusd_h1_2020_20200318_090000_0014.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200318_090000_0014.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200318_090000_0014.png,selected_for_annotation
gbpusd_h1_2020_20200915_150000_0045.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200915_150000_0045.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200915_150000_0045.png,selected_for_annotation
gbpusd_h1_2020_20200707_150000_0033.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200707_150000_0033.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200707_150000_0033.png,selected_for_annotation
gbpusd_h1_2020_20200730_070000_0037.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200730_070000_0037.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200730_070000_0037.png,selected_for_annotation
gbpusd_h1_2020_20200925_230000_0047.png,GBPUSD,H1,2020,ai\datasets\raw\charts\GBPUSD\H1\2020\gbpusd_h1_2020_20200925_230000_0047.png,ai\datasets\annotation\samples\images\gbpusd_h1_2020_20200925_230000_0047.png,selected_for_annotation
gbpusd_h1_2021_20210315_000000_0013.png,GBPUSD,H1,2021,ai\datasets\raw\charts\GBPUSD\H1\2021\gbpusd_h1_2021_20210315_000000_0013.png,ai\datasets\annotation\samples\images\gbpusd_h1_2021_20210315_000000_0013.png,selected_for_annotation
gbpusd_h1_2021_20210922_160000_0046.png,GBPUSD,H1,2021,ai\datasets\raw\charts\GBPUSD\H1\2021\gbpusd_h1_2021_20210922_160000_0046.png,ai\datasets\annotation\samples\images\gbpusd_h1_2021_20210922_160000_0046.png,selected_for_annotation
gbpusd_h1_2021_20210831_000000_0042.png,GBPUSD,H1,2021,ai\datasets\raw\charts\GBPUSD\H1\2021\gbpusd_h1_2021_20210831_000000_0042.png,ai\datasets\annotation\samples\images\gbpusd_h1_2021_20210831_000000_0042.png,selected_for_annotation
